family,genus,species,lme,uni,mergeLME,fao,level,FB_E_Code,source,type.length,taxo,b,a
Zoarcidae,Lycenchelys,,20,Zoarcidae Lycenchelys  20,NA,NA,genus,NA,NA,NA,NA,3,0.01
Carapidae,NA,,22,Carapidae NA  22,NA,NA,family,NA,NA,NA,NA,3,0.01
Carapidae,NA,,21,Carapidae NA  21,NA,NA,family,NA,NA,NA,NA,3,0.01
Gadidae,NA,,20,Gadidae NA  20,NA,NA,family,NA,NA,NA,NA,3,0.01
Nemichthyidae,NA,,20,Nemichthyidae NA  20,NA,NA,family,NA,NA,NA,NA,3,0.01
Paralepididae,NA,,20,Paralepididae NA  20,NA,NA,family,NA,NA,NA,NA,3,0.01
Paralepididae,NA,,21,Paralepididae NA  21,NA,NA,family,NA,NA,NA,NA,3,0.01
Paralepididae,NA,,22,Paralepididae NA  22,NA,NA,family,NA,NA,NA,NA,3,0.01
Pleuronectidae,NA,,20,Pleuronectidae NA  20,NA,NA,family,NA,NA,NA,NA,3,0.01
Pleuronectidae,NA,,22,Pleuronectidae NA  22,NA,NA,family,NA,NA,NA,NA,3,0.01
Scyliorhinidae,NA,,22,Scyliorhinidae NA  22,NA,NA,family,NA,NA,NA,NA,3,0.01
Scophthalmidae,Scophthalmus,,22,Scophthalmidae Scophthalmus  22,NA,NA,genus,NA,NA,NA,NA,3,0.01
Scophthalmidae,Scophthalmus,,20,Scophthalmidae Scophthalmus  20,NA,NA,genus,NA,NA,NA,NA,3,0.01
Squalidae,Squalus,acanthias,20,Squalidae Squalus acanthias 20,22,27,species,139,fb,TL,spe-Ocean,3.057269243,0.004718462
Squalidae,Squalus,acanthias,22,Squalidae Squalus acanthias 22,22,27,species,139,fb,TL,spe-Ocean,3.057269243,0.004718462
Squalidae,Squalus,acanthias,21,Squalidae Squalus acanthias 21,22,27,species,139,fb,TL,spe-Ocean,3.057269243,0.004718462
Gadidae,Melanogrammus,aeglefinus,22,Gadidae Melanogrammus aeglefinus 22,22,27,species,139,fb,TL,spe-Ocean,3.141608684,0.005969565
Gadidae,Melanogrammus,aeglefinus,20,Gadidae Melanogrammus aeglefinus 20,22,27,species,139,fb,TL,spe-Ocean,3.141608684,0.005969565
Gadidae,Melanogrammus,aeglefinus,21,Gadidae Melanogrammus aeglefinus 21,22,27,species,139,fb,TL,spe-Ocean,3.141608684,0.005969565
Syngnathidae,Entelurus,aequoreus,22,Syngnathidae Entelurus aequoreus 22,22,27,species,139,fb,TL,spe-LME,3,0.00022
Syngnathidae,Entelurus,aequoreus,20,Syngnathidae Entelurus aequoreus 20,22,27,species,139,fb,TL,spe-LME,3,0.00022
Syngnathidae,Entelurus,aequoreus,21,Syngnathidae Entelurus aequoreus 21,22,27,species,139,fb,TL,spe-LME,3,0.00022
Clupeidae,Alosa,agone,22,Clupeidae Alosa agone 22,22,27,species,139,fb,TL,spe-Ocean,2.940000057,0.0133
Anguillidae,Anguilla,anguilla,22,Anguillidae Anguilla anguilla 22,22,27,species,139,fb,TL,spe-LME,3.06480769,0.002155231
Anguillidae,Anguilla,anguilla,21,Anguillidae Anguilla anguilla 21,22,27,species,139,fb,TL,spe-LME,3.06480769,0.002155231
Trachipteridae,Trachipterus,arcticus,22,Trachipteridae Trachipterus arcticus 22,22,27,species,235,fb,TL,spe-FAO,3,0.00183
Lotidae,Gaidropsarus,argentatus,20,Lotidae Gaidropsarus argentatus 20,22,27,species,139,fb,TL,gen-LME,2.959000111,0.0108
Lotidae,Gaidropsarus,argentatus,21,Lotidae Gaidropsarus argentatus 21,22,27,species,139,fb,TL,gen-LME,2.959000111,0.0108
Lotidae,Gaidropsarus,argentatus,22,Lotidae Gaidropsarus argentatus 22,22,27,species,139,fb,TL,gen-LME,2.959000111,0.0108
Gadidae,Gadiculus,argenteus,20,Gadidae Gadiculus argenteus 20,22,27,species,139,fb,TL,spe-FAO,3.321333329,0.004176667
Gadidae,Gadiculus,argenteus,22,Gadidae Gadiculus argenteus 22,22,27,species,139,fb,TL,spe-FAO,3.321333329,0.004176667
Gadidae,Gadiculus,argenteus,21,Gadidae Gadiculus argenteus 21,22,27,species,139,fb,TL,spe-FAO,3.321333329,0.004176667
Stichaeidae,Chirolophis,ascanii,20,Stichaeidae Chirolophis ascanii 20,22,27,species,139,fb,TL,gen-Ocean,3.423000097,0.0024
Stichaeidae,Chirolophis,ascanii,22,Stichaeidae Chirolophis ascanii 22,22,27,species,139,fb,TL,gen-Ocean,3.423000097,0.0024
Stichaeidae,Chirolophis,ascanii,21,Stichaeidae Chirolophis ascanii 21,22,27,species,139,fb,TL,gen-Ocean,3.423000097,0.0024
Cottidae,Artediellus,atlanticus,20,Cottidae Artediellus atlanticus 20,22,27,species,139,fb,TL,fam-LME,3.194500029,0.009925
Cottidae,Artediellus,atlanticus,21,Cottidae Artediellus atlanticus 21,22,27,species,139,fb,TL,fam-LME,3.194500029,0.009925
Cottidae,Artediellus,atlanticus,22,Cottidae Artediellus atlanticus 22,22,27,species,139,fb,TL,fam-LME,3.194500029,0.009925
Belonidae,Belone,belone,20,Belonidae Belone belone 20,22,27,species,139,fb,TL,spe-FAO,3.097333272,0.000983333
Belonidae,Belone,belone,22,Belonidae Belone belone 22,22,27,species,139,fb,TL,spe-FAO,3.097333272,0.000983333
Belonidae,Belone,belone,21,Belonidae Belone belone 21,22,27,species,139,fb,TL,spe-FAO,3.097333272,0.000983333
Macrouridae,Macrourus,berglax,20,Macrouridae Macrourus berglax 20,22,27,species,230,fb,TL,spe-FAO,2.938499928,0.01223
Macrouridae,Macrourus,berglax,21,Macrouridae Macrourus berglax 21,22,27,species,230,fb,TL,spe-FAO,2.938499928,0.01223
Macrouridae,Macrourus,berglax,22,Macrouridae Macrourus berglax 22,22,27,species,230,fb,TL,spe-FAO,2.938499928,0.01223
Labridae,Labrus,bergylta,22,Labridae Labrus bergylta 22,22,27,species,139,fb,TL,spe-LME,3,0.0145
Cottidae,Icelus,bicornis,20,Cottidae Icelus bicornis 20,22,27,species,139,fb,TL,gen-Ocean,3.048900008,0.017749999
Cottidae,Icelus,bicornis,21,Cottidae Icelus bicornis 21,22,27,species,139,fb,TL,gen-Ocean,3.048900008,0.017749999
Cottidae,Icelus,bicornis,22,Cottidae Icelus bicornis 22,22,27,species,139,fb,TL,gen-Ocean,3.048900008,0.017749999
Phycidae,Phycis,blennoides,21,Phycidae Phycis blennoides 21,22,27,species,139,fb,TL,spe-LME,3.388999939,0.0022
Phycidae,Phycis,blennoides,20,Phycidae Phycis blennoides 20,22,27,species,139,fb,TL,spe-LME,3.388999939,0.0022
Phycidae,Phycis,blennoides,22,Phycidae Phycis blennoides 22,22,27,species,139,fb,TL,spe-LME,3.388999939,0.0022
Scophthalmidae,Lepidorhombus,boscii,22,Scophthalmidae Lepidorhombus boscii 22,22,27,species,139,fb,TL,spe-LME,3.049999952,0.003
Scophthalmidae,Lepidorhombus,boscii,20,Scophthalmidae Lepidorhombus boscii 20,22,27,species,139,fb,TL,spe-LME,3.049999952,0.003
Scophthalmidae,Lepidorhombus,boscii,21,Scophthalmidae Lepidorhombus boscii 21,22,27,species,139,fb,TL,spe-LME,3.049999952,0.003
Bramidae,Brama,brama,22,Bramidae Brama brama 22,22,27,species,139,fb,TL,spe-FAO,3.184999943,0.00511
Bramidae,Pterycombus,brama,20,Bramidae Pterycombus brama 20,22,27,species,139,fb,TL,fam-FAO,3.184999943,0.00511
Lotidae,Brosme,brosme,20,Lotidae Brosme brosme 20,22,27,species,139,fb,TL,spe-Ocean,2.921979952,0.027317209
Lotidae,Brosme,brosme,21,Lotidae Brosme brosme 21,22,27,species,139,fb,TL,spe-Ocean,2.921979952,0.027317209
Lotidae,Brosme,brosme,22,Lotidae Brosme brosme 22,22,27,species,139,fb,TL,spe-Ocean,2.921979952,0.027317209
Cottidae,Taurulus,bubalis,20,Cottidae Taurulus bubalis 20,22,27,species,139,fb,TL,spe-LME,3,0.0154
Lophiidae,Lophius,budegassa,22,Lophiidae Lophius budegassa 22,22,27,species,139,fb,TL,spe-FAO,2.915749967,0.0365025
Macrouridae,Coelorinchus,caelorhincus,22,Macrouridae Coelorinchus caelorhincus 22,22,27,species,139,fb,TL,spe-FAO,3.064499974,0.064844999
Macrouridae,Coelorinchus,caelorhincus,21,Macrouridae Coelorinchus caelorhincus 21,22,27,species,139,fb,TL,spe-FAO,3.064499974,0.064844999
Scyliorhinidae,Scyliorhinus,canicula,22,Scyliorhinidae Scyliorhinus canicula 22,22,27,species,139,fb,TL,spe-LME,2.904000044,0.00336
Agonidae,Agonus,cataphractus,22,Agonidae Agonus cataphractus 22,22,27,species,139,fb,TL,spe-Ocean,2.740450025,0.015
Agonidae,Agonus,cataphractus,20,Agonidae Agonus cataphractus 20,22,27,species,139,fb,TL,spe-Ocean,2.740450025,0.015
Agonidae,Agonus,cataphractus,21,Agonidae Agonus cataphractus 21,22,27,species,139,fb,TL,spe-Ocean,2.740450025,0.015
Phycidae,Urophycis,chuss,21,Phycidae Urophycis chuss 21,22,27,species,233,fb,TL,spe-Ocean,3,0.012454385
Lotidae,Enchelyopus,cimbrius,22,Lotidae Enchelyopus cimbrius 22,22,27,species,139,fb,TL,spe-LME,3.105999947,0.0035
Lotidae,Enchelyopus,cimbrius,20,Lotidae Enchelyopus cimbrius 20,22,27,species,139,fb,TL,spe-LME,3.105999947,0.0035
Lotidae,Enchelyopus,cimbrius,21,Lotidae Enchelyopus cimbrius 21,22,27,species,139,fb,TL,spe-LME,3.105999947,0.0035
Rajidae,Leucoraja,circularis,22,Rajidae Leucoraja circularis 22,22,27,species,139,fb,TL,spe-Ocean,3.079999924,0.0039
Rajidae,Leucoraja,circularis,21,Rajidae Leucoraja circularis 21,22,27,species,139,fb,TL,spe-Ocean,3.079999924,0.0039
Rajidae,Leucoraja,circularis,20,Rajidae Leucoraja circularis 20,22,27,species,139,fb,TL,spe-Ocean,3.079999924,0.0039
Rajidae,Raja,clavata,20,Rajidae Raja clavata 20,22,27,species,139,fb,TL,spe-LME,3.214999994,0.00281
